Tournament,Country,No.,Pos.,Player,Date of Birth,Caps,Goals,Club
Russia 2018,Croatia,13,DF,Tin Jedvaj,1995-11-28,12,0,Bayer Leverkusen
Russia 2018,Croatia,14,MF,Filip Bradarić,1992-01-11,4,0,Rijeka
Russia 2018,Croatia,15,DF,Duje Ćaleta-Car,1996-09-17,1,0,Red Bull Salzburg
Russia 2018,Croatia,16,FW,Nikola Kalinić[note 2],1988-01-05,42,15,Milan
Russia 2018,Croatia,17,FW,Mario Mandžukić,1986-05-21,83,30,Juventus
Russia 2018,Croatia,18,FW,Ante Rebić,1993-09-21,16,1,Eintracht Frankfurt
Russia 2018,Croatia,19,MF,Milan Badelj,1989-02-25,38,1,Fiorentina
Russia 2018,Croatia,20,FW,Marko Pjaca,1995-05-06,16,1,Schalke 04
Russia 2018,Croatia,21,DF,Domagoj Vida,1989-04-29,59,2,Beşiktaş
Russia 2018,Croatia,22,DF,Josip Pivarić,1989-01-30,19,0,Dynamo Kyiv
Russia 2018,Croatia,23,GK,Danijel Subašić,1984-10-27,38,0,Monaco
Russia 2018,Iceland,1,GK,Hannes Þór Halldórsson,1984-04-27,49,0,Randers
Russia 2018,Iceland,2,DF,Birkir Már Sævarsson,1984-11-11,79,1,Valur
Russia 2018,Iceland,3,MF,Samúel Friðjónsson,1996-02-22,4,0,Vålerenga
Russia 2018,Iceland,4,MF,Albert Guðmundsson,1997-06-15,5,3,PSV Eindhoven
Russia 2018,Iceland,5,DF,Sverrir Ingi Ingason,1993-08-05,20,3,Rostov
Russia 2018,Iceland,6,DF,Ragnar Sigurðsson,1986-06-19,77,3,Rostov
Russia 2018,Iceland,7,MF,Jóhann Berg Guðmundsson,1990-10-27,67,7,Burnley
Russia 2018,Iceland,8,MF,Birkir Bjarnason,1988-05-27,67,9,Aston Villa
Russia 2018,Iceland,9,FW,Björn Bergmann Sigurðarson,1991-02-26,12,1,Rostov
Russia 2018,Iceland,10,MF,Gylfi Sigurðsson,1989-09-08,57,19,Everton
Russia 2018,Iceland,11,FW,Alfreð Finnbogason,1989-02-01,47,13,FC Augsburg
Russia 2018,Iceland,12,GK,Frederik Schram,1995-01-19,4,0,Roskilde
Russia 2018,Iceland,13,GK,Rúnar Alex Rúnarsson,1995-02-18,3,0,Nordsjælland
Russia 2018,Iceland,14,DF,Kári Árnason,1982-10-13,67,5,Aberdeen
Russia 2018,Iceland,15,DF,Hólmar Örn Eyjólfsson,1990-08-06,10,1,Levski Sofia
Russia 2018,Iceland,16,MF,Ólafur Ingi Skúlason,1983-04-01,36,1,Kardemir Karabükspor
Russia 2018,Iceland,17,MF,Aron Gunnarsson (captain),1989-04-22,77,2,Cardiff City
Russia 2018,Iceland,18,DF,Hörður Björgvin Magnússon,1993-02-11,16,2,Bristol City
Russia 2018,Iceland,19,MF,Rúrik Gíslason,1988-02-25,47,3,SV Sandhausen
Russia 2018,Iceland,20,MF,Emil Hallfreðsson,1984-06-29,64,1,Udinese
Russia 2018,Iceland,21,MF,Arnór Ingvi Traustason,1993-04-30,19,5,Malmö FF
Russia 2018,Iceland,22,FW,Jón Daði Böðvarsson,1992-05-25,38,2,Reading
Russia 2018,Iceland,23,DF,Ari Freyr Skúlason,1987-05-14,56,0,Lokeren
Russia 2018,Nigeria,1,GK,Ikechukwu Ezenwa,1988-10-16,24,0,Enyimba
Russia 2018,Nigeria,2,DF,Brian Idowu,1992-05-18,5,1,Amkar Perm
Russia 2018,Nigeria,3,DF,Elderson Echiéjilé,1988-01-20,62,3,Cercle Brugge
Russia 2018,Nigeria,4,MF,Wilfred Ndidi,1996-12-16,17,0,Leicester City
Russia 2018,Nigeria,5,DF,William Troost-Ekong,1993-09-01,22,1,Bursaspor
Russia 2018,Nigeria,6,DF,Leon Balogun,1988-06-28,19,0,Mainz 05
Russia 2018,Nigeria,7,FW,Ahmed Musa,1992-10-14,72,13,CSKA Moscow
Russia 2018,Nigeria,8,MF,Peter Etebo,1995-11-09,14,1,Las Palmas
Russia 2018,Nigeria,9,FW,Odion Ighalo,1989-06-16,19,4,Changchun Yatai
Russia 2018,Nigeria,10,MF,John Obi Mikel (captain),1987-04-22,85,6,Tianjin TEDA
Russia 2018,Nigeria,11,FW,Victor Moses,1990-12-12,34,11,Chelsea
Russia 2018,Nigeria,12,DF,Shehu Abdullahi,1993-03-12,25,0,Bursaspor
Russia 2018,Nigeria,13,FW,Simeon Nwankwo,1992-05-07,2,0,Crotone
Russia 2018,Nigeria,14,FW,Kelechi Iheanacho,1996-03-10,18,8,Leicester City
Russia 2018,Nigeria,15,MF,Joel Obi,1991-05-22,17,0,Torino
Russia 2018,Nigeria,16,GK,Daniel Akpeyi,1986-03-08,7,0,Chippa United
Russia 2018,Nigeria,17,MF,Ogenyi Onazi,1992-12-25,52,1,Trabzonspor
Russia 2018,Nigeria,18,FW,Alex Iwobi,1996-05-03,19,5,Arsenal
Russia 2018,Nigeria,19,MF,John Ogu,1988-04-20,20,2,Hapoel Be'er Sheva
Russia 2018,Nigeria,20,DF,Chidozie Awaziem,1997-01-01,4,0,Nantes
Russia 2018,Nigeria,21,DF,Tyronne Ebuehi,1995-12-16,7,0,ADO Den Haag
Russia 2018,Nigeria,22,DF,Kenneth Omeruo,1993-10-17,39,0,Kasımpaşa
Russia 2018,Nigeria,23,GK,Francis Uzoho,1998-10-28,6,0,Deportivo La Coruña
Russia 2018,Brazil,1,GK,Alisson,1992-10-02,26,0,Roma
Russia 2018,Brazil,2,DF,Thiago Silva,1984-09-22,71,5,Paris Saint-Germain
Russia 2018,Brazil,3,DF,Miranda,1984-09-07,47,2,Inter Milan
Russia 2018,Brazil,4,DF,Pedro Geromel,1985-09-21,2,0,Grêmio
Russia 2018,Brazil,5,MF,Casemiro,1992-02-23,24,0,Real Madrid
Russia 2018,Brazil,6,DF,Filipe Luís,1985-08-09,33,2,Atlético Madrid
Russia 2018,Brazil,7,FW,Douglas Costa,1990-09-14,25,3,Juventus
Russia 2018,Brazil,8,MF,Renato Augusto,1988-02-08,28,5,Beijing Sinobo Guoan
Russia 2018,Brazil,9,FW,Gabriel Jesus,1997-04-03,17,10,Manchester City
Russia 2018,Brazil,10,FW,Neymar,1992-02-05,85,55,Paris Saint-Germain
Russia 2018,Brazil,11,MF,Philippe Coutinho,1992-06-12,37,10,Barcelona
Russia 2018,Brazil,12,DF,Marcelo (captain),1988-05-12,54,6,Real Madrid
Russia 2018,Brazil,13,DF,Marquinhos,1994-05-14,26,0,Paris Saint-Germain
Russia 2018,Brazil,14,DF,Danilo,1991-07-15,18,0,Manchester City
Russia 2018,Brazil,15,MF,Paulinho,1988-07-25,50,12,Barcelona
Russia 2018,Brazil,16,GK,Cássio,1987-06-06,1,0,Corinthians
Russia 2018,Brazil,17,MF,Fernandinho,1985-05-04,44,2,Manchester City
Russia 2018,Brazil,18,MF,Fred,1993-03-05,8,0,Shakhtar Donetsk
Russia 2018,Brazil,19,MF,Willian,1988-08-09,57,8,Chelsea
Russia 2018,Brazil,20,FW,Roberto Firmino,1991-10-02,21,7,Liverpool
Russia 2018,Brazil,21,FW,Taison,1988-01-13,8,1,Shakhtar Donetsk
Russia 2018,Brazil,22,DF,Fagner,1989-06-11,4,0,Corinthians
Russia 2018,Brazil,23,GK,Ederson,1993-08-17,1,0,Manchester City
Russia 2018,Costa Rica,1,GK,Keylor Navas,1986-12-15,81,0,Real Madrid
Russia 2018,Costa Rica,2,DF,Jhonny Acosta,1983-07-21,69,2,Águilas Doradas
Russia 2018,Costa Rica,3,DF,Giancarlo González,1988-02-08,70,2,Bologna
Russia 2018,Costa Rica,4,DF,Ian Smith,1998-03-06,4,0,Norrköping
Russia 2018,Costa Rica,5,MF,Celso Borges,1988-05-27,113,21,Deportivo La Coruña
Russia 2018,Costa Rica,6,DF,Óscar Duarte,1989-06-03,39,2,Espanyol
Russia 2018,Costa Rica,7,MF,Christian Bolaños,1984-05-17,81,6,Saprissa
Russia 2018,Costa Rica,8,DF,Bryan Oviedo,1990-02-18,44,1,Sunderland
Russia 2018,Costa Rica,9,MF,Daniel Colindres,1985-01-10,11,0,Saprissa
Russia 2018,Costa Rica,10,MF,Bryan Ruiz (captain),1985-08-18,110,24,Sporting CP
Russia 2018,Costa Rica,11,FW,Johan Venegas,1988-11-27,47,10,Saprissa
Russia 2018,Costa Rica,12,FW,Joel Campbell,1992-06-26,77,15,Real Betis
Russia 2018,Costa Rica,13,MF,Rodney Wallace,1988-06-17,30,4,New York City FC
Russia 2018,Costa Rica,14,MF,Randall Azofeifa,1984-12-30,58,3,Herediano
Russia 2018,Costa Rica,15,DF,Francisco Calvo,1992-07-08,38,4,Minnesota United
Russia 2018,Costa Rica,16,DF,Cristian Gamboa,1989-10-24,68,3,Celtic
Russia 2018,Costa Rica,17,MF,Yeltsin Tejeda,1992-03-17,51,0,Lausanne
Russia 2018,Costa Rica,18,GK,Patrick Pemberton,1982-04-24,39,0,Alajuelense
Russia 2018,Costa Rica,19,DF,Kendall Waston,1988-01-01,26,3,Vancouver Whitecaps FC
Russia 2018,Costa Rica,20,MF,David Guzmán,1990-02-18,43,0,Portland Timbers
Russia 2018,Costa Rica,21,FW,Marco Ureña,1990-03-05,64,15,Los Angeles FC
Russia 2018,Costa Rica,22,DF,Kenner Gutiérrez,1989-06-09,9,0,Alajuelense
Russia 2018,Costa Rica,23,GK,Leonel Moreira,1990-04-02,9,0,Herediano
Russia 2018,Serbia,1,GK,Vladimir Stojković,1983-07-28,81,0,Partizan
Russia 2018,Serbia,2,DF,Antonio Rukavina,1984-01-26,47,0,Villarreal
Russia 2018,Serbia,3,DF,Duško Tošić,1985-01-19,24,1,Beşiktaş
Russia 2018,Serbia,4,MF,Luka Milivojević,1991-04-07,28,1,Crystal Palace
Russia 2018,Serbia,5,DF,Uroš Spajić,1993-02-13,5,0,Anderlecht
Russia 2018,Serbia,6,DF,Branislav Ivanović,1984-02-22,103,13,Zenit Saint Petersburg
Russia 2018,Serbia,7,MF,Andrija Živković,1996-07-11,10,0,Benfica
Russia 2018,Serbia,8,FW,Aleksandar Prijović,1990-04-21,9,1,PAOK
Russia 2018,Serbia,9,FW,Aleksandar Mitrović,1994-09-16,37,16,Fulham
Russia 2018,Serbia,10,MF,Dušan Tadić,1988-11-20,53,13,Southampton
Russia 2018,Serbia,11,DF,Aleksandar Kolarov (captain),1985-11-10,76,10,Roma
Russia 2018,Serbia,12,GK,Predrag Rajković,1995-10-31,8,0,Maccabi Tel Aviv
Russia 2018,Serbia,13,DF,Miloš Veljković,1995-09-26,2,0,Werder Bremen
Russia 2018,Serbia,14,DF,Milan Rodić,1991-04-02,1,0,Red Star Belgrade
Russia 2018,Serbia,15,DF,Nikola Milenković,1997-10-12,3,0,Fiorentina
Russia 2018,Serbia,16,MF,Marko Grujić,1996-04-13,8,0,Cardiff City
Russia 2018,Serbia,17,MF,Filip Kostić,1992-11-01,23,2,Hamburger SV
Russia 2018,Serbia,18,FW,Nemanja Radonjić,1996-02-15,3,0,Red Star Belgrade
Russia 2018,Serbia,19,FW,Luka Jović,1997-12-23,1,0,Eintracht Frankfurt
Russia 2018,Serbia,20,MF,Sergej Milinković-Savić,1995-02-27,4,0,Lazio
Russia 2018,Serbia,21,MF,Nemanja Matić,1988-08-01,40,2,Manchester United
Russia 2018,Serbia,22,MF,Adem Ljajić,1991-09-29,29,6,Torino
Russia 2018,Serbia,23,GK,Marko Dmitrović,1992-01-24,2,0,Eibar
Russia 2018,Switzerland,1,GK,Yann Sommer,1988-12-17,35,0,Borussia Mönchengladbach
Russia 2018,Switzerland,2,DF,Stephan Lichtsteiner (captain),1984-01-16,100,8,Juventus
Russia 2018,Switzerland,3,DF,François Moubandje,1990-06-21,18,0,Toulouse
Russia 2018,Switzerland,4,DF,Nico Elvedi,1996-09-30,6,0,Borussia Mönchengladbach
Russia 2018,Switzerland,5,DF,Manuel Akanji,1995-07-19,7,0,Borussia Dortmund
Russia 2018,Switzerland,6,DF,Michael Lang,1991-02-08,24,2,Basel
Russia 2018,Switzerland,7,FW,Breel Embolo,1997-02-14,25,3,Schalke 04
Russia 2018,Switzerland,8,MF,Remo Freuler,1992-04-15,10,0,Atalanta
Russia 2018,Switzerland,9,FW,Haris Seferovic,1992-02-22,51,12,Benfica
Russia 2018,Switzerland,10,MF,Granit Xhaka,1992-09-27,62,9,Arsenal
Russia 2018,Switzerland,11,MF,Valon Behrami,1985-04-19,79,2,Udinese
Russia 2018,Switzerland,12,GK,Yvon Mvogo,1994-06-06,0,0,RB Leipzig
Russia 2018,Switzerland,13,DF,Ricardo Rodríguez,1992-08-25,53,5,Milan
Russia 2018,Switzerland,14,MF,Steven Zuber,1991-08-17,12,3,1899 Hoffenheim
Russia 2018,Switzerland,15,MF,Blerim Džemaili,1986-04-12,65,9,Bologna
Russia 2018,Switzerland,16,MF,Gelson Fernandes,1986-09-02,67,2,Eintracht Frankfurt
Russia 2018,Switzerland,17,MF,Denis Zakaria,1996-11-20,10,0,Borussia Mönchengladbach
Russia 2018,Switzerland,18,FW,Mario Gavranović,1989-11-24,14,5,Dinamo Zagreb
Russia 2018,Switzerland,19,FW,Josip Drmić,1992-08-08,29,9,Borussia Mönchengladbach
Russia 2018,Switzerland,20,DF,Johan Djourou,1987-01-18,74,2,Antalyaspor
Russia 2018,Switzerland,21,GK,Roman Bürki,1990-11-14,9,0,Borussia Dortmund
Russia 2018,Switzerland,22,DF,Fabian Schär,1991-12-20,39,7,Deportivo La Coruña
Russia 2018,Switzerland,23,MF,Xherdan Shaqiri,1991-10-10,70,20,Stoke City
Russia 2018,Germany,1,GK,Manuel Neuer (captain),1986-03-27,76,0,Bayern Munich
Russia 2018,Germany,2,DF,Marvin Plattenhardt,1992-01-26,6,0,Hertha BSC
Russia 2018,Germany,3,DF,Jonas Hector,1990-05-27,38,3,1. FC Köln
Russia 2018,Germany,4,DF,Matthias Ginter,1994-01-19,18,0,Borussia Mönchengladbach
Russia 2018,Germany,5,DF,Mats Hummels,1988-12-16,64,5,Bayern Munich
Russia 2018,Germany,6,MF,Sami Khedira,1987-04-04,75,7,Juventus
Russia 2018,Germany,7,MF,Julian Draxler,1993-09-20,44,6,Paris Saint-Germain
Russia 2018,Germany,8,MF,Toni Kroos,1990-01-04,83,12,Real Madrid
Russia 2018,Germany,9,FW,Timo Werner,1996-03-06,14,8,RB Leipzig
Russia 2018,Germany,10,MF,Mesut Özil,1988-10-15,90,23,Arsenal
Russia 2018,Germany,11,FW,Marco Reus,1989-05-31,31,9,Borussia Dortmund
Russia 2018,Germany,12,GK,Kevin Trapp,1990-07-08,3,0,Paris Saint-Germain
Russia 2018,Germany,13,MF,Thomas Müller,1989-09-13,91,38,Bayern Munich
Russia 2018,Germany,14,MF,Leon Goretzka,1995-02-06,15,6,Schalke 04
Russia 2018,Germany,15,DF,Niklas Süle,1995-09-03,11,0,Bayern Munich
Russia 2018,Germany,16,DF,Antonio Rüdiger,1993-03-03,24,1,Chelsea
Russia 2018,Germany,17,DF,Jérôme Boateng,1988-09-03,71,1,Bayern Munich
Russia 2018,Germany,18,DF,Joshua Kimmich,1995-02-08,29,3,Bayern Munich
Russia 2018,Germany,19,MF,Sebastian Rudy,1990-02-28,25,1,Bayern Munich
Russia 2018,Germany,20,MF,Julian Brandt,1996-05-02,16,1,Bayer Leverkusen
Russia 2018,Germany,21,MF,İlkay Gündoğan,1990-10-24,26,4,Manchester City
Russia 2018,Germany,22,GK,Marc-André ter Stegen,1992-04-30,20,0,Barcelona
Russia 2018,Germany,23,FW,Mario Gómez,1985-07-10,75,31,VfB Stuttgart
Russia 2018,Mexico,1,GK,José de Jesús Corona,1981-01-26,52,0,Cruz Azul
Russia 2018,Mexico,2,DF,Hugo Ayala,1987-03-31,43,1,UANL
Russia 2018,Mexico,3,DF,Carlos Salcedo,1993-09-29,21,0,Eintracht Frankfurt
Russia 2018,Mexico,4,DF,Rafael Márquez (captain),1979-02-13,145,18,Atlas
Russia 2018,Mexico,5,MF,Érick Gutiérrez,1995-06-15,9,0,Pachuca
Russia 2018,Mexico,6,MF,Jonathan dos Santos,1990-04-26,32,0,LA Galaxy
Russia 2018,Mexico,7,MF,Miguel Layún,1988-06-25,64,6,Sevilla
Russia 2018,Mexico,8,FW,Marco Fabián,1989-07-21,39,9,Eintracht Frankfurt
Russia 2018,Mexico,9,FW,Raúl Jiménez,1991-05-05,63,13,Benfica
Russia 2018,Mexico,10,MF,Giovani dos Santos,1989-05-11,105,19,LA Galaxy
Russia 2018,Mexico,11,FW,Carlos Vela,1989-03-01,68,18,Los Angeles FC
Russia 2018,Mexico,12,GK,Alfredo Talavera,1982-09-18,27,0,Toluca
Russia 2018,Mexico,13,GK,Guillermo Ochoa,1985-07-13,94,0,Standard Liège
Russia 2018,Mexico,14,FW,Javier Hernández,1988-06-01,102,49,West Ham United
Russia 2018,Mexico,15,DF,Héctor Moreno,1988-01-17,92,3,Real Sociedad
Russia 2018,Mexico,16,DF,Héctor Herrera,1990-04-19,66,5,Porto
Russia 2018,Mexico,17,MF,Jesús Manuel Corona,1993-01-06,36,7,Porto
Russia 2018,Mexico,18,MF,Andrés Guardado,1986-09-28,145,25,Real Betis
Russia 2018,Mexico,19,FW,Oribe Peralta,1984-01-12,67,26,América
Russia 2018,Mexico,20,MF,Javier Aquino,1990-02-11,53,0,UANL
Russia 2018,Mexico,21,DF,Edson Álvarez,1997-10-24,13,1,América
Russia 2018,Mexico,22,FW,Hirving Lozano,1995-07-30,28,7,PSV Eindhoven
Russia 2018,Mexico,23,MF,Jesús Gallardo,1994-08-15,23,0,UNAM
Russia 2018,South Korea,1,GK,Kim Seung-gyu,1990-09-30,33,0,Vissel Kobe
Russia 2018,South Korea,2,DF,Lee Yong,1986-12-24,28,0,Jeonbuk Hyundai Motors
Russia 2018,South Korea,3,DF,Jung Seung-hyun,1994-04-03,6,0,Sagan Tosu
Russia 2018,South Korea,4,DF,Oh Ban-suk,1988-05-20,2,0,Jeju United
Russia 2018,South Korea,5,DF,Yun Young-sun,1988-10-04,6,0,Seongnam FC
Russia 2018,South Korea,6,DF,Park Joo-ho,1987-01-16,36,0,Ulsan Hyundai
Russia 2018,South Korea,7,FW,Son Heung-min,1992-07-08,67,21,Tottenham Hotspur
Russia 2018,South Korea,8,MF,Ju Se-jong,1990-10-30,11,1,Asan Mugunghwa
Russia 2018,South Korea,9,FW,Kim Shin-wook,1988-04-14,50,10,Jeonbuk Hyundai Motors
Russia 2018,South Korea,10,MF,Lee Seung-woo,1998-01-06,4,0,Hellas Verona
Russia 2018,South Korea,11,FW,Hwang Hee-chan,1996-01-26,14,2,Red Bull Salzburg
Russia 2018,South Korea,12,DF,Kim Min-woo,1990-02-25,20,1,Sangju Sangmu
Russia 2018,South Korea,13,MF,Koo Ja-cheol,1989-02-27,68,19,FC Augsburg
Russia 2018,South Korea,14,DF,Hong Chul,1990-09-17,14,0,Sangju Sangmu
Russia 2018,South Korea,15,MF,Jung Woo-young,1989-12-14,30,1,Vissel Kobe
Russia 2018,South Korea,16,MF,Ki Sung-yueng (captain),1989-01-24,102,10,Swansea City
Russia 2018,South Korea,17,MF,Lee Jae-sung,1992-08-10,35,6,Jeonbuk Hyundai Motors
Russia 2018,South Korea,18,MF,Moon Seon-min,1992-06-09,3,1,Incheon United
Russia 2018,South Korea,19,DF,Kim Young-gwon,1990-02-27,53,2,Guangzhou Evergrande
Russia 2018,South Korea,20,DF,Jang Hyun-soo,1991-09-28,51,3,FC Tokyo
Russia 2018,South Korea,21,GK,Kim Jin-hyeon,1987-07-06,15,0,Cerezo Osaka
Russia 2018,South Korea,22,DF,Go Yo-han,1988-03-10,20,0,FC Seoul
Russia 2018,South Korea,23,GK,Jo Hyeon-woo,1991-09-25,6,0,Daegu FC
Russia 2018,Sweden,1,GK,Robin Olsen,1990-01-08,18,0,Copenhagen
Russia 2018,Sweden,2,DF,Mikael Lustig,1986-12-13,66,6,Celtic
Russia 2018,Sweden,3,DF,Victor Lindelöf,1994-07-17,21,1,Manchester United
Russia 2018,Sweden,4,DF,Andreas Granqvist (captain),1985-04-16,72,6,Krasnodar
Russia 2018,Sweden,5,DF,Martin Olsson,1988-05-17,43,5,Swansea City
Russia 2018,Sweden,6,DF,Ludwig Augustinsson,1994-04-21,15,0,Werder Bremen
Russia 2018,Sweden,7,MF,Sebastian Larsson,1985-06-06,100,6,Hull City
Russia 2018,Sweden,8,MF,Albin Ekdal,1989-07-28,34,0,Hamburger SV
Russia 2018,Sweden,9,FW,Marcus Berg,1986-08-17,57,18,Al Ain
Russia 2018,Sweden,10,MF,Emil Forsberg,1991-10-23,36,6,RB Leipzig
Russia 2018,Sweden,11,FW,John Guidetti,1992-04-15,20,1,Alavés
Russia 2018,Sweden,12,GK,Karl-Johan Johnsson,1990-01-28,5,0,Guingamp
Russia 2018,Sweden,13,MF,Gustav Svensson,1987-02-07,13,0,Seattle Sounders FC
Russia 2018,Sweden,14,DF,Filip Helander,1993-04-22,4,0,Bologna
Russia 2018,Sweden,15,MF,Oscar Hiljemark,1992-06-28,22,2,Genoa
Russia 2018,Sweden,16,DF,Emil Krafth,1994-08-02,13,0,Bologna
Russia 2018,Sweden,17,MF,Viktor Claesson,1992-01-02,22,3,Krasnodar
Russia 2018,Sweden,18,DF,Pontus Jansson,1991-02-13,15,0,Leeds United
Russia 2018,Sweden,19,MF,Marcus Rohdén,1991-05-11,12,1,Crotone
Russia 2018,Sweden,20,FW,Ola Toivonen,1986-07-03,59,13,Toulouse
Russia 2018,Sweden,21,MF,Jimmy Durmaz,1989-03-22,45,3,Toulouse
Russia 2018,Sweden,22,FW,Isaac Kiese Thelin,1992-06-24,20,2,Waasland-Beveren
Russia 2018,Sweden,23,GK,Kristoffer Nordfeldt,1989-06-23,8,0,Swansea City
Russia 2018,Belgium,1,GK,Thibaut Courtois,1992-05-11,58,0,Chelsea
Russia 2018,Belgium,2,DF,Toby Alderweireld,1989-03-02,77,3,Tottenham Hotspur
Russia 2018,Belgium,3,DF,Thomas Vermaelen,1985-11-14,66,1,Barcelona
Russia 2018,Belgium,4,DF,Vincent Kompany,1986-04-10,77,4,Manchester City
Russia 2018,Belgium,5,DF,Jan Vertonghen,1987-04-24,102,8,Tottenham Hotspur
Russia 2018,Belgium,6,MF,Axel Witsel,1989-01-12,90,9,Tianjin Quanjian
Russia 2018,Belgium,7,MF,Kevin De Bruyne,1991-06-28,62,14,Manchester City
Russia 2018,Belgium,8,MF,Marouane Fellaini,1987-11-22,82,17,Manchester United
Russia 2018,Belgium,9,FW,Romelu Lukaku,1993-05-13,69,36,Manchester United
Russia 2018,Belgium,10,FW,Eden Hazard (captain),1991-01-07,86,22,Chelsea
Russia 2018,Belgium,11,MF,Yannick Carrasco,1993-09-04,26,5,Dalian Yifang
Russia 2018,Belgium,12,GK,Simon Mignolet,1988-03-06,21,0,Liverpool
Russia 2018,Belgium,13,GK,Koen Casteels,1992-06-25,0,0,VfL Wolfsburg
Russia 2018,Belgium,14,FW,Dries Mertens,1987-05-06,69,14,Napoli
Russia 2018,Belgium,15,DF,Thomas Meunier,1991-09-12,25,5,Paris Saint-Germain
Russia 2018,Belgium,16,MF,Thorgan Hazard,1993-03-29,11,1,Borussia Mönchengladbach
Russia 2018,Belgium,17,MF,Youri Tielemans,1997-05-07,9,0,Monaco
Russia 2018,Belgium,18,FW,Adnan Januzaj,1995-02-05,8,0,Real Sociedad
Russia 2018,Belgium,19,MF,Mousa Dembélé,1987-07-16,76,5,Tottenham Hotspur
Russia 2018,Belgium,20,DF,Dedryck Boyata,1990-11-28,7,0,Celtic
Russia 2018,Belgium,21,FW,Michy Batshuayi,1993-10-02,16,7,Borussia Dortmund
Russia 2018,Belgium,22,MF,Nacer Chadli,1989-08-02,45,5,West Bromwich Albion
Russia 2018,Belgium,23,DF,Leander Dendoncker,1995-04-15,5,0,Anderlecht
Russia 2018,England,1,GK,Jordan Pickford,1994-03-07,3,0,Everton
Russia 2018,England,2,DF,Kyle Walker,1990-05-28,35,0,Manchester City
Russia 2018,England,3,DF,Danny Rose,1990-07-02,18,0,Tottenham Hotspur
Russia 2018,England,4,MF,Eric Dier,1994-01-15,26,3,Tottenham Hotspur
Russia 2018,England,5,DF,John Stones,1994-05-28,26,0,Manchester City
Russia 2018,England,6,DF,Harry Maguire,1993-03-05,5,0,Leicester City
Russia 2018,England,7,MF,Jesse Lingard,1992-12-15,12,1,Manchester United
Russia 2018,England,8,MF,Jordan Henderson,1990-06-17,39,0,Liverpool
Russia 2018,England,9,FW,Harry Kane (captain),1993-07-28,24,13,Tottenham Hotspur
Russia 2018,England,10,FW,Raheem Sterling,1994-12-08,38,2,Manchester City
Russia 2018,England,11,FW,Jamie Vardy,1987-01-11,22,7,Leicester City
Russia 2018,England,12,DF,Kieran Trippier,1990-09-19,7,0,Tottenham Hotspur
Russia 2018,England,13,GK,Jack Butland,1993-03-10,8,0,Stoke City
Russia 2018,England,14,FW,Danny Welbeck,1990-11-26,39,16,Arsenal
Russia 2018,England,15,DF,Gary Cahill,1985-12-19,60,5,Chelsea
Russia 2018,England,16,DF,Phil Jones,1992-02-21,25,0,Manchester United
Russia 2018,England,17,DF,Fabian Delph,1989-11-21,11,0,Manchester City
Russia 2018,England,18,DF,Ashley Young,1985-07-09,34,7,Manchester United
Russia 2018,England,19,FW,Marcus Rashford,1997-10-31,19,3,Manchester United
Russia 2018,England,20,MF,Dele Alli,1996-04-11,25,2,Tottenham Hotspur
Russia 2018,England,21,MF,Ruben Loftus-Cheek,1996-01-23,4,0,Crystal Palace
Russia 2018,England,22,DF,Trent Alexander-Arnold,1998-10-07,1,0,Liverpool
Russia 2018,England,23,GK,Nick Pope,1992-04-19,1,0,Burnley
Russia 2018,Panama,1,GK,Jaime Penedo,1981-09-26,131,0,Dinamo București
Russia 2018,Panama,2,DF,Michael Amir Murillo,1996-02-11,22,2,New York Red Bulls
Russia 2018,Panama,3,DF,Harold Cummings,1992-03-01,52,0,San Jose Earthquakes
Russia 2018,Panama,4,DF,Fidel Escobar,1995-01-09,23,1,New York Red Bulls
Russia 2018,Panama,5,DF,Román Torres,1986-03-20,111,10,Seattle Sounders FC
Russia 2018,Panama,6,MF,Gabriel Gómez,1984-05-29,144,12,Atlético Bucaramanga
Russia 2018,Panama,7,FW,Blas Pérez,1981-03-13,118,43,Municipal
Russia 2018,Panama,8,MF,Édgar Bárcenas,1993-10-23,29,0,Tapachula
Russia 2018,Panama,9,FW,Gabriel Torres,1988-10-31,72,14,Huachipato
Russia 2018,Panama,10,FW,Ismael Díaz,1997-05-12,11,2,Deportivo Fabril
Russia 2018,Panama,11,MF,Armando Cooper,1987-11-26,98,7,Universidad de Chile
Russia 2018,Panama,12,GK,José Calderón,1985-08-14,31,0,Chorrillo
Russia 2018,Panama,13,DF,Adolfo Machado,1985-02-14,76,1,Houston Dynamo
Russia 2018,Panama,14,MF,Valentín Pimentel,1991-05-30,23,1,Plaza Amador
Russia 2018,Panama,15,DF,Erick Davis,1991-03-31,38,0,Dunajská Streda
Russia 2018,Panama,16,FW,Abdiel Arroyo,1993-12-13,33,5,Alajuelense
Russia 2018,Panama,17,DF,Luis Ovalle,1988-09-07,25,0,CD Olimpia
Russia 2018,Panama,18,FW,Luis Tejada,1982-03-28,105,43,Sport Boys
Russia 2018,Panama,19,MF,Ricardo Ávila,1997-02-04,5,0,Gent
Russia 2018,Panama,20,MF,Aníbal Godoy,1990-02-10,88,1,San Jose Earthquakes
Russia 2018,Panama,21,MF,José Luis Rodríguez,1998-06-19,2,0,Gent
Russia 2018,Panama,22,GK,Álex Rodríguez,1990-08-05,6,0,San Francisco
Russia 2018,Panama,23,DF,Felipe Baloy (captain),1981-02-24,102,3,Municipal
